month,trade,stock_name,entries,entry_price,entry_date,stop_loss_dollar,adjusted_stop,exits,exit_price,exit_date,purchase_date,sell_date,hold_time,type
January,1,SLGN,30,52.685,1/13/2023,51.1,,15,52.3111,1/17/2023,1/13/2023,1/18/2023,5,LC
January,1,,,,,,,15,51.5813,1/18/2023,,,,
January,2,XLE,20,89.1997,1/13/2023,86.88,,30,87.75,2/1/2023,1/13/2023,2/1/2023,19,LC
January,2,,10,90.015,1/24/2023,,,,,,,,,
January,3,QSR,20,66.34,1/13/2023,64.98,,20,64.96,1/18/2023,1/13/2023,1/18/2023,5,LC
January,4,VC,9,144.61,1/17/2023,138.41,,4,157,2/1/2023,1/17/2023,2/28/2023,42,HANDLE
January,4,,,,,,,1,157.32,2/1/2023,,,,
January,4,,,,,,,2,161.03,2/2/2023,,,,
January,4,,,,,,,2,169.06,2/28/2023,,,,
January,5,VTYX,20,34.95,1/23/2023,32.51,,10,40.78,1/27/2023,1/23/2023,2/2/2023,10,CHEAT
January,5,,,,,,,5,40.19,2/1/2023,,,,
January,5,,,,,,,5,43.09,2/2/2023,,,,
January,6,AXON,3,190.22,1/23/2023,181.48,,3,180.02,2/7/2023,1/23/2023,2/7/2023,15,HANDLE
January,7,RXDX,5,120.55,1/26/2023,112.98,,5,112.81,1/26/2023,1/26/2023,1/26/2023,0,PP
January,8,IBB,18,136.84,1/26/2023,132.13,,18,133.33,2/8/2023,1/26/2023,2/17/2023,22,VCP
January,8,,9,137.5599,2/3/2023,,,5,132.08,2/16/2023,,,,
January,8,,,,,,,4,131.0843,2/17/2023,,,,
January,9,BIIB,4,293.99,1/27/2023,279.98,,2,285.5084,1/30/2023,1/27/2023,2/14/2023,18,CHEAT
January,9,,,,,,,2,285.22,2/14/2023,,,,
February,10,ADEA,100,11.37,2/2/2023,10.84,,100,10.8417,2/6/2023,2/2/2023,2/6/2023,4,HANDLE
February,11,PRDO,70,14.91,2/3/2023,14.25,,70,13.94,2/7/2023,2/3/2023,2/7/2023,4,VCP
February,11,,50,15.1445,2/6/2023,14.75,,50,13.965,2/7/2023,,,,
February,12,FOLD,50,13.26,2/3/2023,12.6,,50,12.605,2/8/2023,2/3/2023,2/8/2023,5,CAP
February,13,FRHC,15,64.9,2/7/2023,62.75,,15,63.31,2/9/2023,2/7/2023,2/9/2023,2,VCP
February,14,OIH,1,327.47,2/14/2023,309.95,,2,316.68,2/17/2023,2/14/2023,2/17/2023,3,CAP
February,14,,1,331.635,2/14/2023,,,1,309.84,2/17/2023,,,,
February,14,,1,332.31,2/16/2023,,,,,,,,,
February,15,APH,10,81.2,2/16/2023,77.98,,5,81.155,2/17/2023,2/16/2023,2/21/2023,5,VCP
February,15,,,,,,,5,80.0311,2/21/2023,,,,
February,16,XENE,15,39.01,2/16/2023,37.15,,15,38.37,2/16/2023,2/16/2023,2/16/2023,0,VCP
March,17,ISEE,5,23.84,3/20/2023,22.67,,5,22.7813,3/22/2023,3/20/2023,3/22/2023,2,VCP
March,18,RETA,1,93.11,3/31/2023,89.9,,3,99.26,4/24/2023,3/31/2023,4/24/2023,24,PP
March,18,,2,95.27,4/3/2023,89.9,,,,,,,,
March,19,SNPS,1,382.41,3/31/2023,365.98,,1,376.56,4/12/2023,3/31/2023,4/12/2023,12,VCP
March,20,ASO,2,64.435,3/31/2023,62.26,,2,62.2511,4/4/2023,3/31/2023,4/4/2023,4,CONT
April,21,WING,3,184.8423,4/3/2023,177.6,,4,177.5313,4/4/2023,4/3/2023,4/4/2023,1,CAP
April,21,,4,185,4/3/2023,177.6,,3,177.51,4/4/2023,,,,
April,22,MBLY,5,43.535,4/3/2023,39.55,,7,39.54,4/5/2023,4/3/2023,4/5/2023,2,LC
April,22,,2,43.57,4/3/2023,39.55,,,,,,,,
April,23,ASUR,30,14.7289,4/4/2023,13.9,,30,13.9811,4/4/2023,4/4/2023,4/4/2023,0,CONT
April,24,EXTR,1,19.0389,4/5/2023,17.95,,1,16.36,4/19/2023,4/5/2023,4/19/2023,14,CHEAT
April,25,HUBS,1,407.04,4/6/2023,389.98,,1,416.82,4/24/2023,4/6/2023,4/24/2023,18,PB
April,25,,1,422.7,4/21/2023,408.9,,1,410.85,,,,,
April,26,SPY,2,408.1289,4/10/2023,404.5,,3,407.79,4/12/2023,4/10/2023,4/26/2023,16,
April,26,,3,408.89,4/10/2023,398.5,,2,406.0647,4/25/2023,,,,
April,26,,2,411.0999,4/13/2023,404.5,,2,404.4906,4/26/2023,,,,
April,27,BA,1,214.35,4/11/2023,207.9,,1,203.05,4/14/2023,4/11/2023,4/14/2023,3,CHEAT
April,28,QQQ,3,316.57,4/12/2023,313.48,,3,313.48,4/12/2023,4/12/2023,4/12/2023,0,
April,29,QQQ,4,318.61,4/13/2023,312.5,,2,314.9811,4/24/2023,4/13/2023,4/24/2023,11,
April,29,,,,,,,2,314.5107,4/24/2023,,,,
April,30,MBLY,5,43.25,4/14/2023,40.95,,3,45.75,4/24/2023,4/14/2023,4/27/2023,13,LC
April,30,,5,44.48,4/21/2023,,,2,44,4/26/2023,,,,
April,30,,,,,,,3,42.63,4/26/2023,,,,
April,30,,,,,,,2,33.35,4/27/2023,,,,
April,31,AGYS,2,85.01,4/17/2023,80.99,,2,83.98,4/24/2023,4/17/2023,4/25/2023,8,CHEAT
April,31,,4,84.79,4/20/2023,,,1,82.995,4/24/2023,,,,
April,31,,,,,,,3,80.6291,4/25/2023,,,,
April,32,PODD,2,320.84,4/17/2023,313.1,,2,318,4/24/2023,4/17/2023,4/25/2023,8,CAP
April,32,,2,322.25,4/17/2023,313.1,,1,316.6211,4/24/2023,,,,
April,32,,,,,,,1,321.29,4/25/2023,,,,
April,33,ACLS,2,130.6,4/18/2023,123.1,,2,122.42,4/21/2023,4/18/2023,4/21/2023,3,CONT
May,34,NVDA,2,279.33,5/5/2023,272.35,,1,289.0409,5/15/2023,5/5/2023,5/17/2023,12,PB CAP
May,34,,,,,,,1,300.655,5/17/2023,,,,
May,35,LVS,10,62.13,5/5/2023,60.75,,5,61.64,5/5/2023,5/5/2023,5/9/2023,4,PB CAP
May,35,,,,,,,5,60.7111,5/9/2023,,,,
May,36,MDGL,1,311.1783,5/8/2023,295.48,,1,291.077,5/9/2023,5/8/2023,5/9/2023,1,HANDLE
May,37,LVS,5,62.3278,5/10/2023,60.1,,10,60.0748,5/12/2023,5/10/2023,5/12/2023,2,PB CAP
May,37,,5,62.5376,5/10/2023,,,,,,,,,
